species_folder,scientific_name,common_name
abalistes_stellatus,Abalistes stellatus,Starry Triggerfish
ablennes_hians,Ablennes hians,Flat Needlefish
abudefduf_bengalensis,Abudefduf bengalensis,Bengal Sergeant
abudefduf_septemfasciatus,Abudefduf septemfasciatus,Banded Sergeant
abudefduf_sordidus,Abudefduf sordidus,Blackspot Sergeant
abudefduf_vaigiensis,Abudefduf vaigiensis,Indo-Pacific Sergeant Major
acanthocybium_solandri,Acanthocybium solandri,Wahoo
acanthopagrus_berda,Acanthopagrus berda,Goldsilk Seabream
acanthopagrus_datnia,Acanthopagrus datnia,Bengal Yellowfin Seabream
acanthurus_bariene,Acanthurus bariene,Eyespot Surgeonfish
acanthurus_blochii,Acanthurus blochii,Dark Surgeonfish
acanthurus_dussumieri,Acanthurus dussumieri,Eyestripe Surgeonfish
acanthurus_leucocheilus,Acanthurus leucocheilus,White-spine Surgeonfish
acanthurus_leucosternon,Acanthurus leucosternon,Powder Blue Tang
acanthurus_lineatus,Acanthurus lineatus,Striped Surgeonfish
acanthurus_mata,Acanthurus mata,Yellowmask Surgeonfish
acanthurus_nigricauda,Acanthurus nigricauda,Eyeline Surgeonfish
acanthurus_tennentii,Acanthurus tennentii,Lieutenant Surgeonfish
acanthurus_thompsoni,Acanthurus thompsoni,Whitetail Surgeonfish
acanthurus_triostegus,Acanthurus triostegus,Convict Surgeonfish
acanthurus_tristis,Acanthurus tristis,Mimic Surgeonfish
acanthurus_xanthopterus,Acanthurus xanthopterus,Yellowfin Surgeonfish
acentrogobius_viridipunctatus,Acentrogobius viridipunctatus,Greenspotted Goby
aethaloperca_rogaa,Aethaloperca rogaa,Redmouth Grouper
alectis_ciliaris,Alectis ciliaris,African Pompano
alepes_kleinii,Alepes kleinii,Razorbelly Trevally
alepes_vari,Alepes vari,Herring Scad
aluterus_monoceros,Aluterus monoceros,Unicorn Leatherjacket
aluterus_scriptus,Aluterus scriptus,Scrawled Filefish
ambassis_ambassis,Ambassis ambassis,Commerson's Glassy
amblyeleotris_periophthalmus,Amblyeleotris periophthalmus,Broad-banded Shrimpgoby
amblyeleotris_wheeleri,Amblyeleotris wheeleri,Gorgeous Shrimpgoby
amblygobius_semicinctus,Amblygobius semicinctus,Unknown
amphiprion_clarkii,Amphiprion clarkii,Clark's Anemonefish
amphiprion_nigripes,Amphiprion nigripes,Blackfin Anemonefish
anampses_meleagrides,Anampses meleagrides,Yellowtail Wrasse
anyperodon_leucogrammicus,Anyperodon leucogrammicus,Slender Grouper
aphareus_furca,Aphareus furca,Smalltooth Jobfish
apolemichthys_trimaculatus,Apolemichthys trimaculatus,Threespot Angelfish
apolemichthys_xanthurus,Apolemichthys xanthurus,Yellowtail Angelfish
aprion_virescens,Aprion virescens,Green Jobfish
arius_arius,Arius arius,Threadfin Sea Catfish
arothron_hispidus,Arothron hispidus,White-spotted Puffer
arothron_immaculatus,Arothron immaculatus,Yellow-eyed Puffer
arothron_meleagris,Arothron meleagris,Guineafowl Puffer
arothron_nigropunctatus,Arothron nigropunctatus,Blackspotted Puffer
arothron_reticularis,Arothron reticularis,Reticulated Puffer
arothron_stellatus,Arothron stellatus,Starry Puffer
aspidontus_taeniatus,Aspidontus taeniatus,False Cleanerfish
atractosteus_spatula,Atractosteus spatula,Alligator Gar
atropus_armatus,Atropus armatus,Longfin Trevally
atropus_hedlandensis,Atropus hedlandensis,Port Hedland Trevally
atule_mate,Atule mate,Barred Yellowtail Scad
aulostomus_chinensis,Aulostomus chinensis,Pacific Trumpetfish
auxis_rochei,Auxis rochei,Bullet Tuna
auxis_thazard,Auxis thazard,Frigate Tuna
awaous_melanocephalus,Awaous melanocephalus,Largesnout Goby
awaous_ocellaris,Awaous ocellaris,Spotfin River Goby
balistapus_undulatus,Balistapus undulatus,Orangestripe Triggerfish
balistoides_conspicillum,Balistoides conspicillum,Clown Triggerfish
balistoides_viridescens,Balistoides viridescens,Titan Triggerfish
bathygobius_cocosensis,Bathygobius cocosensis,Cocos Frillgoby
bathygobius_fuscus,Bathygobius fuscus,Dusky Frillgoby
bathygobius_meggitti,Bathygobius meggitti,Meggitt's Frillgoby
blenniella_chrysospilos,Blenniella chrysospilos,Redspotted Rockskipper
bodianus_axillaris,Bodianus axillaris,Axilspot Hogfish
bodianus_diana,Bodianus diana,Diana's Hogfish
boleophthalmus,Boleophthalmus,Blue-spotted Mudskippers
boleophthalmus_boddarti,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper
boleophthalmus_dussumieri,Boleophthalmus dussumieri,Dussumier's Mudskipper
boleophthalmus_pectinirostris,Boleophthalmus pectinirostris,Great Blue-spotted Mudskipper
bryaninops_yongei,Bryaninops yongei,Wire Coral Goby
butis_butis,Butis butis,Crimsontip Gudgeon
caesio_cuning,Caesio cuning,Yellowtail Fusilier
caesio_lunaris,Caesio lunaris,Lunar Fusilier
caesio_varilineata,Caesio varilineata,Variable-lined Fusilier
caesio_xanthonota,Caesio xanthonota,Yellowback Fusilier
canthidermis_maculata,Canthidermis maculata,Spotted Oceanic Triggerfish
canthigaster_petersii,Canthigaster petersii,Peter's Toby
canthigaster_valentini,Canthigaster valentini,Blacksaddle Toby
caranx_heberi,Caranx heberi,Blacktip Trevally
caranx_ignobilis,Caranx ignobilis,Giant Trevally
caranx_lugubris,Caranx lugubris,Black Trevally
caranx_melampygus,Caranx melampygus,Bluefin Trevally
caranx_papuensis,Caranx papuensis,Brassy Trevally
caranx_sexfasciatus,Caranx sexfasciatus,Bigeye Trevally
centropyge_multispinis,Centropyge multispinis,Brown Pygmy Angelfish
cephalopholis_argus,Cephalopholis argus,Peacock Grouper
cephalopholis_boenak,Cephalopholis boenak,Chocolate Grouper
cephalopholis_formosa,Cephalopholis formosa,Bluelined Rockcod
cephalopholis_miniata,Cephalopholis miniata,Coral Grouper
cephalopholis_sexmaculata,Cephalopholis sexmaculata,Saddle Grouper
cephalopholis_sonnerati,Cephalopholis sonnerati,Tomato Grouper
cetoscarus_ocellatus,Cetoscarus ocellatus,Spotted Parrotfish
chaetodon_andamanensis,Chaetodon andamanensis,Andaman Butterflyfish
chaetodon_auriga,Chaetodon auriga,Threadfin Butterflyfish
chaetodon_bennetti,Chaetodon bennetti,Eclipse Butterflyfish
chaetodon_citrinellus,Chaetodon citrinellus,Speckled Butterflyfish
